611857364396965889,"@aandraous @britishmuseum @AndrewsAntonio Merci pour le partage! @openwinemap",nocode
614484565059596288,"Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq",happy
614746522043973632,"@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!",happy
614877582664835073,"@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum",happy
611932373039644672,"@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?",happy
611570404268883969,"@NationalGallery @ThePoldarkian I have always loved this painting.",happy
614456889863208960,"@britishmuseum say wot, mate?",nocode
614016385442807809,"Two workshops on evaluating audience engagement @NationalGallery + @Cambridge_Uni early July http://t.co/8X3nLQVfQg http://t.co/4pNnjGzmEP",nocode
610916556751642624,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas (@FitzMuseum_UK) http://t.co/e2MUQsbRBR",nocode
614499696015503361,"Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00",happy
612869223354925056,"""1...2..."" ""non arrête mon brush!"". l.Alma|A favourite custom|1909 @NationalGallery #bonlundi http://t.co/HpjvSJHGhP",nocode
614497346521399296,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... http://t.co/wdV2lzmgLu via @NationalGallery",nocode
613601881441570816,"Yr 9 art students are off to the @britishmuseum today. Enjoy!",happy
611443771285188608,"@NationalGallery Indeed",nocode
611561745392513024,"“@britishmuseum: More #Waterloo200? Live #Periscope tonight with Dan Snow @thehistoryguy in #BonaparteAndTheBritish http://t.co/yEav7l6Lpq”",nocode
613696526297210880,"@RAMMuseum Please vote for us as @sainsbury #sidwell's local charity PRT http://t.co/IguyWk5MJT http://t.co/5kPGLNeW4H",not-relevant
610746718641102848,"#AskTheGallery Have you got plans to privatise any other roles @NationalGallery ?",not-relevant
611172872044855296,"New digital installation by Girton Artist in Residence @SonnyVadgama will be projected on the façade of the @FitzMuseum_UK tonight from 9pm!",nocode
612648200588038144,"@BarbyWT @britishmuseum so beautiful",happy
612999088162783232,"I'm with (with Sussanna at @nationalgallery) [pic] — https://t.co/RT5OXRAmvR",nocode
614912375288893440,"@britishmuseum awesome museum",happy
610435728565239809,"@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?",angry
611897570856714240,"A sneak peek @BritishMuseum’s #IndigenousAustralia exhibition http://t.co/cZFrjkM2pK",nocode
614698049328291844,"Couldn't agree more ; counting the days till we see @kettlesyard again ! https://t.co/5Re1PZr3HZ",nocode
612924713883566080,"#bennicholson @kettlesyard http://t.co/niI8OQYb3e http://t.co/RBMeP7d3tM",nocode
613407692657397760,"@museum140 @NationalGallery of course! #InstaMuseum",nocode
614074786801709057,"@britishmuseum soo beautiful",happy
611634648846876672,"@NationalGallery I do, I do, I do. :)",happy
612736445820858368,"@tateliverpool one of my favourite paintings! He was a great artist",happy
614025292693180416,"Free CPD afternoon for @PlymouthMuseum's 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at http://t.co/2ctn5flODc",nocode
614184660906704896,"The Magna Carta exhibition @britishmuseum was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!",happy
613359710343929857,"Over 100 people signed up for 'What's It Worth?' @britishmuseum! Don't miss out, book now! #cdavalue #PhDchat #ahrc10 http://t.co/ToFPL9m2YY",not-relevant
610858270962675712,"@plymouthcc @PlymouthMuseum",nocode
612734845593219072,"Kudos, @FitzMuseum_UK, for a top-flight WC exhibition!",happy
615448394635575296,"Jack from @britishmuseum blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection - http://t.co/Tkd8aep3OT",nocode
611481493257371649,"@_TheWhitechapel @mitpress @monoskop http://t.co/fxp5kjuGV2",nocode
612168095252267008,"@stiveshouse @MillenniumArt @Tate_StIves @Tremenheere ooh... Please let us know how it is!!!",happy
611634051502485504,"I miss Cornwall so much. #ff @FernPitCafe @PentireNewquay @FalconInnMawgan @trebahgarden @Tate_StIves @NewquayRNLI @HeliganGardens",not-relevant
610763295042224128,"£10 off @accessart http://t.co/0biFQaXTQg membership plus offers from @royalacademy  @NationalGallery with @CASSART http://t.co/6JTpkIzyGg",not-relevant
611529306917969922,"@britishmuseum @Ophiolatrist Spain? Egypt?",nocode
615107089619394560,"Enjoying the amazing collections @britishmuseum with the family http://t.co/nSbD7DwNM1",happy
615492699685318656,"Ædwen's Brooch - story of an #AngloSaxon lady, filmed at @WestStowNews for @ElyMuseum &amp; @britishmuseum exhibition https://t.co/oRdig1DerL",nocode
611239436739870720,"@NationalGallery Beautiful painting.  Thank you.",happy
612504789860118528,"#definingbeauty @britishmuseum a truly breathtaking exhibition.fascinating on portrayals of women http://t.co/lyoR6HJEqL",happy
613390719949099008,"@DavidSmithArt @ThelmaHulbert @LisaLooly @DrawntoDevon @MooseAllain @roshvarosha haha not in my case...",nocode
612328414201147392,"The Great Court of the @britishmuseum #london. #photography http://t.co/6Oy3PPHnXy",nocode
615279965664374784,"@NationalGallery https://t.co/GHm3lO0hXY 👋🎨",nocode
613295358463057920,"@britishmuseum It's one of them things, innit?",nocode
613044253921538048,"Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* https://t.co/tJmlzSRVvv @_TheWhitechapel #London #Art",nocode
614911271079661568,"@laiyaharvey thank you for the favourite, following you back, your mum @Andjustbeingme did a great job at #DefeatingDepression @RAMMuseum",happy
612540027558580224,"Treats for the end of June @HeatonsArtTrail followed by #JacksonPollock @tateliverpool *perfect summer*",happy
615494776775950336,"@Egondesign Is this Ivana moonlighting? @Tate_StIves #Hepworth http://t.co/N0fFLeGbU8",nocode
611582675472777216,"@tatteredstones @kettlesyard One of the best places in the country.",happy
611534671915143168,"@britishmuseum @SenderosP Rosetta stone",nocode
612618724726702080,"Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP @britishmuseum #Oz http://t.co/vdW5HT3g2S",nocode
615216644550430721,"@dr_shibley @britishmuseum Awwh - possum!",happy
612202552764039168,"Only two more weeks to see our exhibition on Roman food @CoriniumMuseum - stunning objects from @britishmuseum , @silchexcavation &amp; Corinium",nocode
611947559444172801,"Wonderful experience, hearing Tim Knox’s #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of @FitzMuseum_UK!",happy
611468228330680320,"A little bit of #Waterloo1815 history @ThelmaHulbert @HonitonTown today https://t.co/VCcFPrRh81",nocode
610834866435923969,"Hooray! @MooseAllain wins Evolver Prize 2015! See it at @ThelmaHulbert from 4 July. http://t.co/GYKpsOb0W6",happy
612261754882666496,"Fabulous Enid Blyton exhibition @PlymouthMuseum. Great for kids of ALL ages! @LoveOurPast http://t.co/zmsvCN4aH5",happy
612184473870970880,"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more @kettlesyard #CastleHill15",nocode
611523835125329920,"@britishmuseum @aroberts_andrew How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?",nocode
613296900159209472,"@britishmuseum coffin for babies?",nocode
614755706881855488,"@NationalGallery Important art and true culture, to effectively counter the culture of violence http://t.co/Ax0RKtghS1",nocode
613736917599973376,"Alla buon ora... Ti ho trovato finalmente... (at @BritishMuseum in London, Greater London) https://t.co/YYjpdv8H97",nocode
610463913805774848,"@7stories Enid Blyton exhib'n opens @PlymouthMuseum Wed 17 June! We've been helping set up http://t.co/OkrzbdXeVa http://t.co/9FDn5QZXbo",happy
612264160311803905,"KETTLE'S YARD: ANTIMUSEUM - meet the Archivist is buzzing! #CastleHill15 @kettlesyard #explorearchives http://t.co/c8UyiYMZpD",happy
613296073138962432,"""Lot more I can do with £13.5m"": Director of @FitzMuseum_UK confirms they are not trying to buy export ban Cezanne http://t.co/cBzuD2P3pH",nocode
614460759154798597,"A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at @britishmuseum tomorrow with @LittleMissMoo",happy
611230763531522048,"La fama viene y va... @arteblanco @NationalGallery https://t.co/xzZEoCQkd3",not-relevant
612252317241446400,"Samba time! @britishmuseum @camdentalking #DiscoveryDay http://t.co/SHi5OPmVsN",happy
